变化名称,变化阶段,要素类型,变化置信度,发现变化时间,是否需要测绘,3613规则,要素地址,线索信息,longitude,latitude
文成县大峃镇通村公路,竣工,道路,高,2017/12/25,是,三个月更新,温州市文成县,新闻,120.021975,27.80657
温州市危险桥隧,完工,桥梁,低,2017/12/12,否,三个月更新,温州市,新闻,120.699364,27.993828
文成珊溪交通码头,竣工,码头,高,2017/11/24,是,三个月更新,温州市文成县,新闻,120.021975,27.80657
G104京福线瓯海段,竣工,道路,高,2017/11/16,是,三个月更新,温州市,新闻,120.565735,27.676268
瑞枫公路瑞安至湖岭段,竣工,道路,高,2017/11/13,是,三个月更新,温州市瑞安市,新闻,120.461903,27.823025
中海油丽水36-1气田终端配套码头,竣工,码头,低,2017/11/08,否,三个月更新,温州市,新闻,120.684091,27.996943
S230省道,完工,道路,低,2017/11/07,否,三个月更新,温州市平阳县,新闻,120.414215,27.596966
瑞枫公路瑞安至湖岭段,竣工,道路,高,2017/10/24,是,三个月更新,温州市瑞安市,新闻,120.461903,27.823025
浙能温州电厂煤码头,竣工,码头,高,2017/10/18,是,三个月更新,温州市,新闻,120.684091,27.996943
鹿城区农村公路,完工,道路,高,2017/09/27,是,三个月更新,温州市鹿城区,新闻,120.657234,27.983145
文成县“建制村客车村村通”全线,完工,道路,高,2017/09/26,是,三个月更新,温州市文成县,新闻,121.672545,29.902938
104国道乐清虹桥至乐成段,竣工,道路,高,2017/09/08,是,三个月更新,温州市乐清市,新闻,121.234608,28.423044
苍南大道,竣工,道路,高,2017/09/04,是,三个月更新,温州市苍南县,新闻,120.437331,27.533501
金丽温高速温州市瓯海段,完工,道路,低,2017/08/28,否,三个月更新,温州市,新闻,120.588959,28.030569
泰顺228省道,竣工,道路,低,2017/07/17,否,三个月更新,温州市泰顺县,新闻,119.771263,27.640401
泰顺黄桥至文成铜铃山,竣工,道路,高,2017/07/06,是,三个月更新,温州市文成县,新闻,120.021975,27.80657
龙湾S332温强线,竣工,道路,低,2017/05/26,否,三个月更新,温州市龙湾区,新闻,120.804562,27.907444
G104京福线永嘉挂彩到六岙段,竣工,道路,高,2017/05/11,是,三个月更新,温州市永嘉县,新闻,120.662215,28.330747
昆鳌快速联系通道,竣工,道路,高,2017/05/10,是,三个月更新,温州市平阳县,新闻,120.382898,27.631565
57省道暨文青、文泰公路文成段,竣工,道路,高,2017/05/04,是,三个月更新,温州市平阳县,新闻,120.322208,27.688224
文成九溪桥,完工,桥梁,高,2017/04/14,是,三个月更新,温州市文成县,新闻,120.021973,27.806566
G322国道,完工,道路,低,2017/03/16,否,三个月更新,温州市文成县,新闻,120.021975,27.80657
温州海运公司灵昆多用途码头,竣工,码头,高,2017/02/16,是,三个月更新,温州市,新闻,120.684091,27.996943
龙湾区永中街道城北桥、新华桥,竣工,桥梁,高,2017/01/20,是,三个月更新,温州市龙湾区,新闻,120.830654,27.912903
文成县峃口绿道大桥,完工,桥梁,高,2017/01/19,是,三个月更新,温州市文成县,新闻,120.021975,27.80657
温州港乐清湾港区,竣工,码头,高,2017/01/12,是,三个月更新,温州市乐清市,新闻,121.009598,28.256149
温州甬台温高速,完工,道路,低,2017/01/11,否,三个月更新,温州市,新闻,120.702805,27.998522
雁楠公路,竣工,道路,高,2016/12/29,是,三个月更新,温州市,新闻,120.92646,28.356537
湖雾岭隧道,竣工,道路,低,2016/11/18,否,三个月更新,温州市乐清市,新闻,121.232239,28.418161
瑞安市农村危桥,完工,桥梁,高,2016/11/08,是,三个月更新,温州市瑞安市,新闻,120.643532,27.768194
